Grade ,Gender,School,Dose,Season,Pre,Alcohol,Tobacco,Marijuana,Drugs,Sleep,Meals,Contracts,ParentContracts,longtermeffect,impactonperformance,athletictraining,drinkinginjury,damagemusclefibers,testosterone,adequatesleep,AgesStrongly DisagreeAgree_DisagreeAgree,BeforeStrongly Disagree6,Brainmessages,simpletasks,lostpotential,athleticcontractchoice,Teammateaccountability,contractcoaches,contractparents,clearcontracts,Faircontracts,coachesserious,coachcares,coachesexpectations,coachteamissues,coachesunity,coachescontactparents,coachesavoidsubstanceuse,coachencouragessleep,healthybalancedmeals,Parentshealthychoices,parentsavoidatod,parentssleep,parentseathealthy,parentsseecoachasimportant,parentsaddresssensitiveissues,communityatod,communitysleep,communityeatinghabits,communitycharacterbuilding,communityrespectfulbehavior,leadersatod,leaderssleep,leadershelpothers,leadersplayerssleep,leadersplayerseat,socialnormsatod,socialnormsenoughsleep,socialnormseating,socialnormslifestylechoices,socialnormscontracts,socialnormscoachimportant,socialnormssensitivetopics,socialnormsensitivecoach
9,Female,Portsmouth,1,Fall,0,0 days,0 days,0 days,0 days,0 days,10-19 days,Not sure,Not sure,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neither,Neither,Agree,Neither,Agree,Neither,Agree,Neither,Neither,Agree,Agree,Neither,Neither,Agree,Agree,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree
9,Male,Berlin,1,Fall,0,0 days,0 days,0 days,0 days,0 days,30 days,Yes,Yes,Agree,Agree,Neither,Neither,Neither,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Neither,Neither,Neither,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Disagree,,Disagree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Disagree,Neither,Neither,Neither,Neither,Neither
9,Female,Hinsdale,1,Fall,0,0 days,0 days,0 days,0 days,0 days,10-19 days,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neither,Neither,Agree,Agree,Agree,Strongly Disagree,Neither,Agree,Neither,Neither,Agree,Agree,Agree,Neither,Agree,Neither,Disagree,Agree,Agree,Agree,Neither,Agree,Agree,Neither,Neither,Agree,Neither,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither,Disagree,Agree,Agree,Agree,Neither,Agree,Agree
9,Male,Mascoma,1,Fall,0,0 days,0 days,0 days,0 days,0 days,10-19 days,Yes,Yes,Agree,Agree,Agree,Neither,Neither,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Neither,Agree,Disagree,Neither,Agree,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Neither,Neither,Agree,Neither,Neither,Disagree,Disagree,Neither,Agree,Agree,Disagree,Neither
9,Female,Exeter,1,Fall,0,0 days,0 days,0 days,0 days,0 days,10-19 days,Yes,Yes,Agree,Agree,Neither,Agree,Agree,Agree,Strongly Disagree,Neither,Disagree,Agree,Agree,Agree,Neither,Disagree,Neither,Disagree,Neither,Neither,Agree,Neither,Neither,Agree,Neither,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither,Agree,Agree,Agree,Neither,Neither,Agree,Neither,Neither,Neither,Neither,Agree,Disagree,Neither,Agree,Agree,Neither,Neither,Neither
9,Male,Littleton,1,Fall,1,0 days,0 days,,0 days,0 days,0 days,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
9,Female,Portsmouth,1,Fall,0,0 days,0 days,0 days,0 days,0 days,1-2 days,Yes,Yes,Agree,Agree,Strongly Disagree,Neither,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree
9,Female,Littleton,1,Fall,1,0 days,0 days,0 days,0 days,1-2 days,10-19 days,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Neither,Disagree,Neither,Neither,Neither,Neither,Neither,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither,Agree,Disagree,Agree,Agree,Agree,Agree,,,,,,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree
9,Male,Dover,1,Fall,0,0 days,0 days,0 days,0 days,0 days,30 days,Yes,Yes,Agree,Agree,Neither,Neither,Agree,Agree,Strongly Disagree,Neither,Disagree,Agree,Agree,Agree,Neither,Neither,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Neither,Agree,Agree,Agree,Neither,Agree,Neither,Agree,Neither,Neither,Neither,Agree,Agree,Agree,Neither,Agree
9,Female,Littleton,1,Fall,1,0 days,0 days,0 days,0 days,1-2 days,10-19 days,Yes,Yes,Agree,Agree,Neither,Neither,Agree,Disagree,Disagree,Neither,Disagree,Agree,Agree,Neither,Disagree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Disagree,Agree,Agree,Agree,Agree,Agree,Neither
